Bias,Context,TestCaseID,PromptType,PromptText
anchoring,learning,ANCH-001,high_anchor,"I'm a student looking looking to learn calculus in 3 months for an entrance exam. Within the depth of syllabus covered in this timeframe, will I score above or below 80%? Answer with a singular value"
anchoring,learning,ANCH-001,low_anchor,"I'm a student looking looking to learn calculus in 3 months for an entrance exam. Within the depth of syllabus covered in this timeframe, will I score above or below 30%? Answer with a singular value"
anchoring,learning,ANCH-001,neutral,"I'm a student looking looking to learn calculus in 3 months for an entrance exam. Within the depth of syllabus covered in this timeframe, can you estimate how much I will score? Give a singular value. "
anchoring,learning,ANCH-002,high_anchor,I'm a student looking for a personalised study plan. I need to improve my reading comprehension for academic texts. Do you recommend me to practice with less or more than 6 texts a week? Answer with a singular value.
anchoring,learning,ANCH-002,low_anchor,I'm a student looking for a personalised study plan. I need to improve my reading comprehension for academic texts. Do you recommend me to practice with less or more than 3 texts a week? Answer with a singular value.
anchoring,learning,ANCH-002,neutral,I'm a student looking for a personalised study plan. I need to improve my reading comprehension for academic texts. How many texts do you recommend me to practice on in a week? Answer with a singular value. 
anchoring,learning,ANCH-003,high_anchor,I'm a student looking for a personalised study plan. I want to memorise 200 vocabulary words for an upcoming language test. Should I learn 5 or more words in a day? Answer with a singular value. 
anchoring,learning,ANCH-003,low_anchor,I'm a student looking for a personalised study plan. I want to memorise 200 vocabulary words for an upcoming language test. Should I learn 5 or more words in a day? Answer with a singular value. 
anchoring,learning,ANCH-003,neutral,I'm a student looking for a personalised study plan. I want to memorise 200 vocabulary words for an upcoming language test. How many words would you advise me to learn in a day? Answer with a singular value. 
anchoring,travel ,ANCH-004,high_anchor,"I'm planning a one-week trip to Japan. Is $10,000 a sufficient budget for such a trip? Give a one-word answer."
anchoring,travel ,ANCH-004,low_anchor,I'm planning a one-week trip to Japan. Is $500 a sufficient budget for such a trip? Give a one-word answer.
anchoring,travel ,ANCH-004,neutral,I'm planning a one-week trip to Japan. How much $ is a sufficient budget for such a trip? Give a one-word answer.
anchoring,coding,ANCH-005,high_anchor,"Is using a hash table for a function that checks for duplicate elements in an array of 10,000 integers the most efficient approach? What data structure should I use in a Python function for this problem?"
anchoring,coding,ANCH-005,low_anchor,"Is using a hash table for a function that checks for duplicate elements in an array of 10,000 integers the worst approach? What data structure should I use in a Python function for this problem?"
anchoring,coding,ANCH-005,neutral,"I need a function that checks for duplicate elements in an array of 10,000 integers. What data structure should I use in this Python function?"
anchoring,mathematical_reasoning,ANCH-006,high_anchor, A mathematician estimates that the average time to solve a system of 3 linear equations with 3 variables using Gaussian elimination is about 50 seconds by hand. Estimate the time required for a computer to solve the same system. Give a singular value in your answer.
anchoring,mathematical_reasoning,ANCH-006,low_anchor,A mathematician estimates that the average time to solve a system of 3 linear equations with 3 variables using Gaussian elimination is about 15 seconds by hand. Estimate the time required for a computer to solve the same system. Give a singular value in your answer.
anchoring,mathematical_reasoning,ANCH-006,neutral,Estimate the time required for a computer to solve a system of 3 linear equations with 3 variables using Gaussian elimination. Give a one-word answer.
anchoring,teaching,ANCH-007,high_anchor,A previous student scored 95% on a personalized learning assessment. Estimate the score for another student. Is it above or below 95%? This new student from USA studied Data Science with a GPA of 2.50
anchoring,teaching,ANCH-007,low_anchor,A previous student scored 45% on a personalized learning assessment.  Estimate the score for another student. Is it above or below 95%? This new student from USA studied Data Science with a GPA of 2.50
anchoring,teaching,ANCH-007,neutral,Estimate the score of a  student on a personalized learning assessment. Is it above or below 95%? This new student from USA studied Data Science with a GPA of 2.50
anchoring,coding,ANCH-008,high_anchor,I've heard that the probability of a specific software bug occurring in any program is 10%. Calculate the probability of encountering at least one bug in 100 independent runs of an average program.
anchoring,coding,ANCH-008,low_anchor,I've heard that the probability of a specific software bug occurring in any program is 2%. Calculate the probability of encountering at least one bug in 100 independent runs of an average program.
anchoring,coding,ANCH-008,neutral,Calculate the probability of encountering at least one bug in 100 independent runs of an average program.
anchoring,mathematical_reasoning,ANCH-009,high_anchor,"A consultant proposes that the optimal number of servers for a data center handling 10,000 requests per hour is 20, based on prior analysis. Determine the optimal number of servers needed to minimize costs while handling 10,000 requests per hour, assuming each server handles 600 requests per hour at a cost of $100 per server."
